datum,IC_capaciteit_totaal,kliniek_capaciteit_totaal,IC_bezetting_covid,IC_bezetting_covid_internationaal,IC_bezetting_ontlabeld,IC_bezetting_noncovid,kliniek_bezetting_covid,kliniek_bezetting_ontlabeld,kliniek_bezetting_noncovid,IC_opnames_covid,kliniek_opnames_covid
13-02-2021,1301,15157,444,0,94,522,1032,293,11144,32,182
12-02-2021,1311,15290,440,0,94,505,1073,297,12010,32,182
11-02-2021,1309,15581,442,0,95,517,1105,310,12136,23,195
10-02-2021,1308,15607,449,0,84,511,1115,342,12190,20,199
09-02-2021,1309,15481,461,0,89,455,1122,338,12067,26,120
08-02-2021,1321,15557,449,0,93,455,1128,364,11444,26,120
07-02-2021,1329,14787,447,0,88,462,1106,339,10506,19,150
06-02-2021,1319,15067,464,0,83,488,1095,341,11284,22,166
05-02-2021,1318,15565,491,0,82,490,1148,331,12098,22,166
04-02-2021,1332,15519,509,0,93,486,1171,348,12320,29,186
03-02-2021,1334,15740,530,0,83,479,1233,368,12293,25,184
02-02-2021,1336,15585,541,0,88,471,1288,352,12217,29,218
01-02-2021,1320,15385,540,0,99,426,1280,351,11180,24,144
31-01-2021,1335,14920,549,0,97,454,1243,330,10544,30,142
30-01-2021,1334,15180,542,0,98,471,1259,341,11182,29,196
29-01-2021,1340,15592,554,0,105,458,1226,346,12064,36,196
28-01-2021,1325,15468,557,1,87,495,1256,339,11824,29,186
27-01-2021,1318,15244,571,2,78,492,1302,346,11520,38,201
26-01-2021,1324,15413,582,4,88,466,1362,343,11632,52,219
25-01-2021,1335,15123,582,4,78,416,1378,342,10870,24,169
24-01-2021,1350,15476,600,4,76,416,1327,340,10550,42,165
23-01-2021,1358,15371,582,4,87,459,1302,331,11084,33,214
22-01-2021,1356,14992,589,4,81,456,1330,354,11295,31,231
21-01-2021,1357,15255,593,4,80,460,1326,341,11519,36,226
20-01-2021,1371,15373,598,4,77,447,1371,338,11550,27,214
19-01-2021,1343,15296,603,5,75,444,1402,365,11387,42,245
18-01-2021,1345,15099,602,5,83,398,1367,377,10642,28,152
17-01-2021,1345,14837,596,5,75,393,1354,354,10018,38,179
16-01-2021,1360,15071,587,5,79,441,1368,326,10542,35,212
15-01-2021,1363,15027,619,5,66,452,1446,338,11322,24,217
14-01-2021,1361,15225,621,5,67,453,1489,325,11368,48,226
13-01-2021,1369,15432,639,7,54,416,1507,314,11582,46,212
12-01-2021,1365,15206,635,7,53,417,1617,328,11301,43,267
11-01-2021,1366,15270,632,7,63,383,1638,288,10398,24,173
10-01-2021,1357,14694,648,7,56,379,1576,274,9872,25,187
09-01-2021,1358,14745,630,7,63,420,1600,274,10313,44,241
08-01-2021,1358,14891,638,7,62,426,1642,294,10712,37,217
07-01-2021,1349,14869,636,8,68,420,1771,281,10634,29,231
06-01-2021,1334,14813,631,8,65,435,1861,270,10764,40,263
05-01-2021,1300,14793,661,8,62,396,1905,254,10598,46,320
04-01-2021,1294,14677,651,9,55,377,1895,235,9659,41,226
03-01-2021,1270,13765,643,9,52,360,1826,180,9028,29,241
02-01-2021,1279,13841,650,9,39,379,1819,186,8873,37,248
01-01-2021,1289,13698,642,10,50,389,1780,177,8620,37,239
